Game File,Row Player Payoff Sum
bs_canonic_numbers.txt,3
bs_noncanonic_numbers.txt,3
bs_noncanonic_numbersv11.txt,3
bs_noncanonic_numbersv13.txt,3
bs_noncanonic_numbersv15.txt,3
bs_noncanonic_numbersv17.txt,3
bs_noncanonic_numbersv19.txt,3
bs_noncanonic_numbersv3.txt,3
bs_noncanonic_numbersv5.txt,3
bs_noncanonic_numbersv7.txt,3
bs_noncanonic_numbersv9.txt,3
hd_canoninc_numbers.txt,-10
hd_noncanonic_numbersv11.txt,-10
hd_noncanonic_numbersv13.txt,-5
hd_noncanonic_numbersv15.txt,-3
hd_noncanonic_numbersv17.txt,-10
hd_noncanonic_numbersv19.txt,-10
hd_noncanonic_numbersv3.txt,-25
hd_noncanonic_numbersv5.txt,-5
hd_noncanonic_numbersv7.txt,-20
hd_noncanonic_numbersv9.txt,-15
hd_noncanoninc_numbers.txt,-10
mp_canonic_numbers.txt,0
mp_noncanonic_numbers.txt,0
mp_noncanonic_numbersv11.txt,-2
mp_noncanonic_numbersv13.txt,-2
mp_noncanonic_numbersv15.txt,-4
mp_noncanonic_numbersv17.txt,-4
mp_noncanonic_numbersv19.txt,2
mp_noncanonic_numbersv3.txt,-2
mp_noncanonic_numbersv5.txt,2
mp_noncanonic_numbersv7.txt,-2
mp_noncanonic_numbersv9.txt,-10
pd_canonic_numbers.txt,-16
pd_noncanonic_numbers.txt,18
pd_noncanonic_numbersv11.txt,20
pd_noncanonic_numbersv13.txt,25
pd_noncanonic_numbersv15.txt,19
pd_noncanonic_numbersv17.txt,18
pd_noncanonic_numbersv19.txt,18
pd_noncanonic_numbersv3.txt,20
pd_noncanonic_numbersv5.txt,18
pd_noncanonic_numbersv7.txt,18
pd_noncanonic_numbersv9.txt,15
sh_canoninc_numbers.txt,6
sh_noncanonic_numbersv11.txt,16
sh_noncanonic_numbersv13.txt,15
sh_noncanonic_numbersv15.txt,19
sh_noncanonic_numbersv17.txt,11
sh_noncanonic_numbersv19.txt,12
sh_noncanonic_numbersv3.txt,10
sh_noncanonic_numbersv5.txt,7
sh_noncanonic_numbersv7.txt,10
sh_noncanonic_numbersv9.txt,14
sh_noncanoninc_numbers.txt,6
